alcohol,0,1,2
11.03,0,1,0
11.41,0,1,0
11.45,0,1,0
11.46,0,1,0
11.56,0,1,0
11.61,0,1,0
11.62,0,1,0
11.64,0,1,0
11.65,0,1,0
11.66,0,1,0
11.76,0,1,0
11.79,0,1,0
11.81,0,1,0
11.82,0,2,0
11.84,0,2,0
11.87,0,1,0
11.96,0,1,0
12.0,0,3,0
12.04,0,1,0
12.07,0,1,0
12.08,0,5,0
12.16,0,1,0
12.17,0,1,0
12.2,0,0,1
12.21,0,1,0
12.22,0,1,0
12.25,0,1,2
12.29,0,4,0
12.33,0,2,0
12.34,0,1,0
12.36,0,0,1
12.37,0,6,0
12.42,0,3,0
12.43,0,1,0
12.45,0,0,1
12.47,0,1,0
12.51,0,1,1
12.52,0,1,0
12.53,0,0,1
12.58,0,0,1
12.6,0,1,1
12.64,0,1,0
12.67,0,1,0
12.69,0,1,0
12.7,0,1,1
12.72,0,2,0
12.77,0,1,1
12.79,0,0,1
12.81,0,0,1
12.82,0,0,1
12.84,0,0,1
12.85,1,0,1
12.86,0,0,1
12.87,0,0,1
12.88,0,0,1
12.93,1,0,1
12.96,0,0,1
12.99,0,1,0
13.03,0,1,0
13.05,4,2,0
13.07,1,0,0
13.08,0,0,1
13.11,0,1,1
13.16,1,0,1
13.17,0,0,2
13.2,1,0,0
13.23,0,0,1
13.24,2,0,0
13.27,0,0,1
13.28,1,0,0
13.29,1,0,0
13.3,1,0,0
13.32,0,0,1
13.34,0,1,0
13.36,0,0,1
13.39,1,0,0
13.4,0,0,2
13.41,1,0,0
13.45,0,0,1
13.48,1,0,1
13.49,0,1,1
13.5,1,0,1
13.51,1,0,0
13.52,0,0,1
13.56,2,0,0
13.58,1,0,1
13.62,0,0,1
13.63,1,0,0
13.64,1,0,0
13.67,0,1,0
13.68,1,0,0
13.69,0,0,1
13.71,1,0,1
13.72,1,0,0
13.73,1,0,1
13.74,1,0,0
13.75,1,0,0
13.76,1,0,0
13.77,1,0,0
13.78,0,0,1
13.82,1,0,0
13.83,2,0,0
13.84,0,0,1
13.86,1,1,0
13.87,1,0,0
13.88,1,0,1
13.9,1,0,0
13.94,1,0,0
14.02,1,0,0
14.06,2,0,0
14.1,2,0,0
14.12,1,0,0
14.13,0,0,1
14.16,0,0,1
14.19,1,0,0
14.2,1,0,0
14.21,1,0,0
14.22,2,0,0
14.23,1,0,0
14.3,1,0,0
14.34,0,0,1
14.37,1,0,0
14.38,2,0,0
14.39,1,0,0
14.75,1,0,0
14.83,1,0,0
